latent_aggregate_cosine_similarity,latent_aggregate_finite,latent_aggregate_normalized_mse,latent_aggregate_optimal_scalar_rescaled_normalized_loss,latent_aggregate_pearson_correlation,latent_aggregate_power_ratio,latent_aggregate_raw_mse,latent_aggregate_reconstruction_mean,latent_aggregate_reconstruction_power,latent_aggregate_reconstruction_std,latent_aggregate_relative_improvement_over_zero,latent_aggregate_target_power,latent_aggregate_zero_normalized_mse,latent_layer0_cosine_similarity,latent_layer0_finite,latent_layer0_layer,latent_layer0_normalized_mse,latent_layer0_optimal_scalar_rescaled_normalized_loss,latent_layer0_pearson_correlation,latent_layer0_power_ratio,latent_layer0_raw_mse,latent_layer0_reconstruction_mean,latent_layer0_reconstruction_power,latent_layer0_reconstruction_std,latent_layer0_relative_improvement_over_zero,latent_layer0_target_power,latent_layer0_zero_normalized_mse,latent_layer7_cosine_similarity,latent_layer7_finite,latent_layer7_layer,latent_layer7_normalized_mse,latent_layer7_optimal_scalar_rescaled_normalized_loss,latent_layer7_pearson_correlation,latent_layer7_power_ratio,latent_layer7_raw_mse,latent_layer7_reconstruction_mean,latent_layer7_reconstruction_power,latent_layer7_reconstruction_std,latent_layer7_relative_improvement_over_zero,latent_layer7_target_power,latent_layer7_zero_normalized_mse,latent_layers1_to_7_cosine_similarity,latent_layers1_to_7_normalized_mse,latent_layers1_to_7_optimal_scalar_rescaled_normalized_loss,latent_layers1_to_7_pearson_correlation,latent_layers1_to_7_power_ratio,latent_layers1_to_7_raw_mse,latent_layers1_to_7_relative_improvement_over_zero,latent_layers6_to_7_cosine_similarity,latent_layers6_to_7_normalized_mse,latent_layers6_to_7_optimal_scalar_rescaled_normalized_loss,latent_layers6_to_7_pearson_correlation,latent_layers6_to_7_power_ratio,latent_layers6_to_7_raw_mse,latent_layers6_to_7_relative_improvement_over_zero,output_dc_mean,output_peak,output_rms,pesq,si_sdr_db,speaker_similarity,stft_l1,stoi,stoi_available,stoi_error,summed_cosine_similarity,summed_normalized_mse,summed_pearson_correlation,summed_power_ratio,summed_raw_mse,utterance_id,visqol,waveform_correlation,waveform_snr_db
0.5582040771842003,True,0.6693506129086018,0.6682327184826136,0.5581904910504818,0.3585002776235342,0.9782576113939285,0.009940456598997116,1.5989424865692854,1.2644538879394531,0.33064938709139824,2.5511790215969086,1.0,0.8989350199699402,True,0,0.1919180452823639,0.1919165402650833,0.8988609910011292,0.8103088140487671,2.4565603733062744,0.08916404843330383,10.371992111206055,3.21932315826416,0.8080819547176361,12.800048828125,1.0,0.4678156077861786,True,7,0.7836315035820007,0.7811485528945923,0.4678802788257599,0.2679550051689148,0.41344475746154785,0.0054287356324493885,0.14137333631515503,0.3759572505950928,0.21636849641799927,0.5276010036468506,1.0,0.5095282282148089,0.7375552654266357,0.7362778867994036,0.5095232767718179,0.29395620099135805,0.7670715025493077,0.26244473457336426,0.4622262120246887,0.7883220911026001,0.7863157391548157,0.4622245579957962,0.2568608671426773,0.4544003903865814,0.2116779088973999,-6.229650898603722e-05,0.2686707377433777,0.03584672883152962,,-21.293766021728516,,0.18008114397525787,,False,pystoi is not installed,0.8310955166816711,0.31040358543395996,0.8310888409614563,0.6361494064331055,6.639927864074707,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,,0.08584316819906235,-0.8343129754066467
0.5508249402046204,True,0.6771450825035572,0.6760827265679836,0.5508129671216011,0.35296824015676975,1.0821226574480534,0.003562472527846694,1.502902970649302,1.2259242534637451,0.3228549174964428,2.5490585416555405,1.0,0.8638030290603638,True,0,0.25384441018104553,0.2538442313671112,0.8637861609458923,0.745334267616272,3.1468310356140137,0.052050426602363586,9.239679336547852,3.039238452911377,0.7461555898189545,12.396692276000977,1.0,0.405757337808609,True,7,0.8375228643417358,0.8353610038757324,0.40568169951438904,0.20453378558158875,0.4758417010307312,-0.00446118600666523,0.11620662361383438,0.3408617377281189,0.16247713565826416,0.5681536793708801,1.0,0.5061137846537999,0.7376166071210589,0.7364025115966797,0.5061025108609881,0.296915950519698,0.787164317710059,0.26238339287894114,0.4403349757194519,0.8060873746871948,0.8049094676971436,0.4402737617492676,0.2217494174838066,0.4855656176805496,0.19391262531280518,-0.00010705733438953757,0.331365704536438,0.034640539437532425,,-23.24842071533203,,0.16823174059391022,,False,pystoi is not installed,0.813302755355835,0.3393576145172119,0.8132930994033813,0.6157317161560059,7.488184928894043,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,,0.0686362013220787,-1.4330053329467773
0.544731367379427,True,0.6908312886953354,0.6886534579098225,0.5447341166436672,0.35015385039150715,1.101020559668541,0.0036217840388417244,1.447490019723773,1.2031112909317017,0.3091687113046646,2.4854333102703094,1.0,0.8520379066467285,True,0,0.27405643463134766,0.27403125166893005,0.8520249128341675,0.7345455288887024,3.5219902992248535,0.02941516414284706,9.439888954162598,3.0722994804382324,0.7259435653686523,12.851332664489746,1.0,0.48716622591018677,True,7,0.7643408179283142,0.7626689672470093,0.48718124628067017,0.27884066104888916,0.3748586177825928,0.0044546350836753845,0.1367529034614563,0.36977434158325195,0.2356591820716858,0.49043387174606323,1.0,0.5008304331983838,0.7503705535616193,0.7478852016585213,0.5008354314735958,0.2952407534633364,0.7551677397319249,0.24962944643838064,0.4742935001850128,0.7757235467433929,0.774880051612854,0.47429950535297394,0.24767448753118515,0.4193939119577408,0.22427645325660706,-0.00010613561607897282,0.2731229066848755,0.0328855961561203,,-7.483704566955566,,0.07871831953525543,,False,pystoi is not installed,0.7924631237983704,0.3720676898956299,0.7924496531486511,0.6152539849281311,7.788474082946777,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,,0.389180064201355,-0.24417945742607117
0.5731063894927502,True,0.6539582405239344,0.6528695281594992,0.5731093026697636,0.3564282711595297,1.0400019511580467,0.004845950752496719,1.5659401500597596,1.2513659000396729,0.34604175947606564,2.5745813623070717,1.0,0.8747569918632507,True,0,0.23496420681476593,0.23480038344860077,0.8747509717941284,0.7877568602561951,2.941160202026367,0.02139109931886196,9.860732078552246,3.1401073932647705,0.7650357931852341,12.517481803894043,1.0,0.42738500237464905,True,7,0.8182131052017212,0.8173421621322632,0.42739516496658325,0.2087547779083252,0.46943897008895874,-0.0006046805065125227,0.11977029591798782,0.34607791900634766,0.1817868947982788,0.5737367868423462,1.0,0.5300134462969643,0.7138145310538155,0.7125936916896275,0.5300176356519971,0.2948099012885775,0.7684079153197152,0.2861854689461844,0.4523823708295822,0.7953363358974457,0.7947254776954651,0.45242084562778473,0.20955824106931686,0.4855732023715973,0.20466366410255432,-0.00011389167775632814,0.2133215218782425,0.034402232617139816,,-6.143989562988281,,0.19314239919185638,,False,pystoi is not installed,0.8088986873626709,0.3465596139431,0.8088799715042114,0.6072889566421509,7.738217353820801,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,,0.4421456456184387,0.9179106950759888
0.53978281468153,True,0.6923604570329189,0.6910845693200827,0.5398087464272976,0.3372197411954403,1.0926169455051422,0.009054345078766346,1.5381602719426155,1.2401928901672363,0.30763954296708107,2.5599348098039627,1.0,0.8725989460945129,True,0,0.2388521134853363,0.23857133090496063,0.8725813627243042,0.7909531593322754,3.0529305934906006,0.05294227600097656,10.109707832336426,3.179136037826538,0.7611478865146637,12.78167724609375,1.0,0.4508323073387146,True,7,0.7993167042732239,0.7967501878738403,0.4509069323539734,0.2514949142932892,0.4255616068840027,0.0044785356149077415,0.1338975876569748,0.36589279770851135,0.20068329572677612,0.532406747341156,1.0,0.49223765305110384,0.7571473632540021,0.7557293176651001,0.4922698012420109,0.27240068146160673,0.8125721386500767,0.24285263674599783,0.4626857489347458,0.7871014773845673,0.7857813835144043,0.46273142099380493,0.2424497753381729,0.4618213176727295,0.21289852261543274,-7.785990601405501e-05,0.21016238629817963,0.037681203335523605,,-11.946823120117188,,0.16993090510368347,,False,pystoi is not installed,0.797112226486206,0.36466625332832336,0.7970515489578247,0.623725175857544,7.809493541717529,data/mini_librispeech/LibriSpeech/dev-clean-2/251/118436/251-118436-0008.flac,,0.24502699077129364,0.05581749230623245
0.5818475820124149,True,0.6472117397934198,0.6462976187467575,0.5818095207214355,0.377978328615427,1.032755933701992,0.017933564260601997,1.488788953050971,1.2200275659561157,0.35278826020658016,2.485161244869232,1.0,0.8756840229034424,True,0,0.23319830000400543,0.23317861557006836,0.8756177425384521,0.7746161818504333,2.762378454208374,0.08466064184904099,9.175808906555176,3.0279765129089355,0.7668016999959946,11.845620155334473,1.0,0.5178464651107788,True,7,0.7323554158210754,0.731835126876831,0.5178650617599487,0.2923086881637573,0.40751931071281433,0.00537212984636426,0.16265521943569183,0.40326958894729614,0.26764458417892456,0.5564501881599426,1.0,0.539870947599411,0.7063565169061933,0.7053146192005703,0.5398369176047189,0.32131577815328327,0.7856670022010803,0.29364348309380667,0.5112583637237549,0.7400351464748383,0.7385716736316681,0.5112494826316833,0.29946210980415344,0.45304903388023376,0.25996485352516174,-0.0002907699381466955,0.31597986817359924,0.052015915513038635,,-3.7652029991149902,,0.13049814105033875,,False,pystoi is not installed,0.8185011744499207,0.33178916573524475,0.8182910680770874,0.6035249829292297,7.01248025894165,data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170142/1462-170142-0023.flac,,0.5439536571502686,1.4304749965667725
0.5660692974925041,True,0.6620310582220554,0.6609926819801331,0.5660694167017937,0.3605242669582367,1.1017193347215652,0.008547520264983177,1.4694343004375696,1.2121721506118774,0.33796894177794456,2.499226689338684,1.0,0.8450430035591125,True,0,0.2863874137401581,0.2859022915363312,0.8449984788894653,0.7518078088760376,3.420408248901367,0.051785361021757126,8.979059219360352,2.996060371398926,0.7136125862598419,11.943290710449219,1.0,0.5075557827949524,True,7,0.7424015998840332,0.7423871755599976,0.5075737833976746,0.25377270579338074,0.43798506259918213,-0.0003482361207716167,0.14971500635147095,0.38693007826805115,0.2575984001159668,0.589957058429718,1.0,0.5262159109115601,0.7156944360051837,0.7145770234721047,0.5262224078178406,0.3046266181128366,0.7704780612673078,0.2843055639948164,0.4701055437326431,0.7780051231384277,0.7775983512401581,0.4701025038957596,0.23311187326908112,0.4918328821659088,0.22199487686157227,-6.469702930189669e-05,0.25901317596435547,0.0327845998108387,,-7.8852949142456055,,0.12295930832624435,,False,pystoi is not installed,0.7837179899215698,0.3867148160934448,0.7836652994155884,0.6629043817520142,7.367197036743164,data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,0.3741067349910736,0.5718282461166382
0.5251836702227592,True,0.7054045163094997,0.7036685161292553,0.5251660868525505,0.3263408783823252,1.0947075970470905,0.003206116845831275,1.399711518548429,1.1830897331237793,0.29459548369050026,2.4468373209238052,1.0,0.8552765250205994,True,0,0.26856401562690735,0.2685032784938812,0.8552740216255188,0.7448881268501282,3.22330904006958,0.011998675763607025,8.940156936645508,2.989985466003418,0.7314359843730927,12.002013206481934,1.0,0.36906206607818604,True,7,0.8672657012939453,0.8637933731079102,0.3690759241580963,0.18317387998104095,0.47123801708221436,0.003160490421578288,0.09952946752309799,0.31546708941459656,0.1327342987060547,0.5433605909347534,1.0,0.47802754810878206,0.7678103021212986,0.7658349786485944,0.47800781045641216,0.2665484143154962,0.7906216766153064,0.23218969787870133,0.4275679737329483,0.8157429695129395,0.8137628138065338,0.4275255352258682,0.22070222347974777,0.4722602218389511,0.18425703048706055,-5.234458149061538e-05,0.2869117558002472,0.03321234881877899,,-9.073598861694336,,0.17709122598171234,,False,pystoi is not installed,0.7970819473266602,0.365136981010437,0.7970708012580872,0.6010169982910156,7.745197296142578,data/mini_librispeech/LibriSpeech/dev-clean-2/8297/275156/8297-275156-0003.flac,,0.3318793475627899,0.25845155119895935
0.5733593553304672,True,0.652431957423687,0.6519553996622562,0.573378037661314,0.3587853368371725,1.0345295406877995,0.009685754776000977,1.5720904674381018,1.2537928819656372,0.347568042576313,2.5875685438513756,1.0,0.8788794875144958,True,0,0.22760653495788574,0.22757109999656677,0.8788876533508301,0.7829290628433228,2.8418962955474854,0.03512772545218468,9.775655746459961,3.1264071464538574,0.7723934650421143,12.486004829406738,1.0,0.4301745593547821,True,7,0.8163443207740784,0.814949631690979,0.4303320050239563,0.21857322752475739,0.47368988394737244,0.005886635277420282,0.12682874500751495,0.3560815751552582,0.18365567922592163,0.5802574753761292,1.0,0.5297136221613202,0.7131213034902301,0.7125817281859261,0.529733806848526,0.298193375979151,0.7763342899935586,0.28687869650977,0.4488651007413864,0.7988908886909485,0.7981707453727722,0.44893112778663635,0.2217715159058571,0.49473027884960175,0.2011091113090515,3.259497316321358e-05,0.2589114010334015,0.041814614087343216,,-7.682772159576416,,0.1753711849451065,,False,pystoi is not installed,0.8192245960235596,0.3291548490524292,0.8192660808563232,0.6438581347465515,7.212267875671387,data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0010.flac,,0.38165923953056335,0.38126054406166077
0.5766628421843052,True,0.6528365649282932,0.6519186068326235,0.5766327492892742,0.35542148165404797,1.072965808212757,0.016390874981880188,1.4857044275850058,1.2187845706939697,0.34716343507170677,2.593162603676319,1.0,0.8774740099906921,True,0,0.2302277386188507,0.2300402671098709,0.8773975968360901,0.7461184859275818,2.862680673599243,0.10126075148582458,9.277331352233887,3.044187545776367,0.7697722613811493,12.434125900268555,1.0,0.4494788646697998,True,7,0.800349771976471,0.7979686260223389,0.44945478439331055,0.24828015267848969,0.46207404136657715,0.002831426914781332,0.14334209263324738,0.37859487533569336,0.19965022802352905,0.5773401260375977,1.0,0.5336898182119642,0.7132092544010707,0.712186941078731,0.533666342496872,0.299607623900686,0.8172922560146877,0.28679074559892925,0.47598835825920105,0.774522602558136,0.77273228764534,0.47597837448120117,0.26839429885149,0.4863872230052948,0.225477397441864,-0.00027017141110263765,0.22083543241024017,0.04223828762769699,,-7.306032657623291,,0.12725788354873657,,False,pystoi is not installed,0.8189054727554321,0.3326544165611267,0.8187386989593506,0.5803453326225281,7.39273738861084,data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0019.flac,,0.3959727883338928,0.5462266206741333
0.5514408759772778,True,0.6784637458622456,0.6772239282727242,0.5514591671526432,0.34899632073938847,0.9252893850207329,0.002477668458595872,1.6213203556835651,1.273308277130127,0.32153625413775444,2.5474764853715897,1.0,0.9032154679298401,True,0,0.18429991602897644,0.18420231342315674,0.9032155871391296,0.7980495691299438,2.5394060611724854,0.011808841489255428,10.996054649353027,3.3160088062286377,0.8157000839710236,13.778660774230957,1.0,0.4546562135219574,True,7,0.7935380935668945,0.7932878136634827,0.4546554982662201,0.19257713854312897,0.37477728724479675,0.00048792260349728167,0.0909515768289566,0.30158138275146484,0.20646190643310547,0.4722864627838135,1.0,0.5011873628411975,0.7490585786955697,0.747655587536948,0.5012082500117165,0.28484585668359486,0.6947012884276254,0.25094142130443026,0.466884508728981,0.7828764617443085,0.7818695902824402,0.46692100167274475,0.2320646271109581,0.40418094396591187,0.21712353825569153,-6.991842383285984e-05,0.18018895387649536,0.02236243151128292,,-9.01308822631836,,0.06868316233158112,,False,pystoi is not installed,0.8388144969940186,0.29682329297065735,0.8388192057609558,0.6691437363624573,6.0671515464782715,data/mini_librispeech/LibriSpeech/dev-clean-2/2035/152373/2035-152373-0008.flac,,0.33394134044647217,0.28024134039878845
0.5792640782892704,True,0.6461427062749863,0.6454969346523285,0.5792579837143421,0.3782216217368841,0.8578985258936882,0.006131917238235474,1.5516059659421444,1.2456196546554565,0.35385729372501373,2.3587047792971134,1.0,0.8954358100891113,True,0,0.19826412200927734,0.19819557666778564,0.8954250812530518,0.8167015314102173,2.420847177505493,0.03772402182221413,9.972099304199219,3.15763783454895,0.8017358779907227,12.210212707519531,1.0,0.45946693420410156,True,7,0.7893708944320679,0.7888903617858887,0.4594579339027405,0.23173266649246216,0.394042432308197,0.0036356342025101185,0.11567756533622742,0.3400946259498596,0.21062910556793213,0.4991854131221771,1.0,0.5340966880321503,0.7101253611700875,0.7093971286501203,0.5340912554945264,0.31558163464069366,0.6346201470920018,0.28987463882991243,0.46670106053352356,0.7829383313655853,0.7821380198001862,0.4666965454816818,0.24459512531757355,0.4035387337207794,0.21706166863441467,-0.00012092560064047575,0.10982230305671692,0.010224432684481144,,-7.884824752807617,,0.026040425524115562,,False,pystoi is not installed,0.8338656425476074,0.3048226535320282,0.8338414430618286,0.6747843623161316,5.940632343292236,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/286674/7850-286674-0005.flac,,0.3741241991519928,0.20916873216629028
0.5888515748083591,True,0.630899228155613,0.6293087787926197,0.5888299457728863,0.4083552658557892,0.8938953764736652,0.0008358534541912377,1.5783923156559467,1.256340503692627,0.36910077184438705,2.4162595570087433,1.0,0.8891553282737732,True,0,0.20945477485656738,0.20940423011779785,0.889133870601654,0.8032879829406738,2.3859100341796875,0.04163583740592003,9.150294303894043,3.024658679962158,0.7905452251434326,11.391051292419434,1.0,0.45143648982048035,True,7,0.7977648377418518,0.7962055206298828,0.45143774151802063,0.24100767076015472,0.43173789978027344,0.001005293452180922,0.13042959570884705,0.3611489534378052,0.2022351622581482,0.5411844253540039,1.0,0.5459510385990143,0.6911055786269051,0.6892951428890228,0.5459293850830623,0.3519363062722342,0.680750425372805,0.3088944213730948,0.45396099984645844,0.7951865494251251,0.7939132452011108,0.4539319723844528,0.23952999711036682,0.4595178961753845,0.20481345057487488,-0.0001085790790966712,0.1590263843536377,0.020846450701355934,,-11.506670951843262,,0.12113755196332932,,False,pystoi is not installed,0.8383541107177734,0.29725441336631775,0.83835369348526,0.6868894696235657,5.9496331214904785,data/mini_librispeech/LibriSpeech/dev-clean-2/6319/57405/6319-57405-0005.flac,,0.2569422423839569,0.26861631870269775
0.5551197864115238,True,0.6760137192904949,0.6751104518771172,0.5551022179424763,0.3464998360723257,1.1228198818862438,0.004101152066141367,1.4701123256236315,1.2124749422073364,0.3239862807095051,2.5595106557011604,1.0,0.8607709407806396,True,0,0.2590946853160858,0.25907427072525024,0.8607859015464783,0.7487302422523499,3.181974411010742,0.02199101261794567,9.195249557495117,3.032287120819092,0.7409053146839142,12.28112506866455,1.0,0.4173867702484131,True,7,0.8273758888244629,0.8257885575294495,0.41725629568099976,0.20905734598636627,0.5029308199882507,0.007710508070886135,0.1270781308412552,0.35639679431915283,0.1726241111755371,0.6078625321388245,1.0,0.5114553357873645,0.735573581286839,0.7345441920416695,0.5114331202847617,0.2890383494751794,0.8286549491541726,0.2644264187131609,0.4514426290988922,0.7958351671695709,0.7950398921966553,0.4513779878616333,0.22150980681180954,0.49670957028865814,0.20416483283042908,-4.269605778972618e-05,0.4721176028251648,0.0699579194188118,,-6.3459930419921875,,0.2211073487997055,,False,pystoi is not installed,0.8006327748298645,0.36018213629722595,0.8006266355514526,0.5868628621101379,8.289572715759277,data/mini_librispeech/LibriSpeech/dev-clean-2/1988/24833/1988-24833-0016.flac,,0.4339136779308319,0.8452941179275513
0.5583720579743385,True,0.674448985606432,0.6736519373953342,0.5583723969757557,0.3454763814806938,1.0829783454537392,0.003727798815816641,1.4715331979095936,1.2130619287490845,0.32555101439356804,2.560726173222065,1.0,0.8583328723907471,True,0,0.26338812708854675,0.26326510310173035,0.858340322971344,0.7178167104721069,3.4817306995391846,-0.0015626883832737803,9.4888277053833,3.0803937911987305,0.7366118729114532,13.219012260437012,1.0,0.46591717004776,True,7,0.7855876684188843,0.7829214930534363,0.4658966362476349,0.2678610384464264,0.4134892225265503,0.0032529791351407766,0.14098700881004333,0.37546828389167786,0.21441233158111572,0.526343822479248,1.0,0.5155205130577087,0.7331719653947013,0.7322786280087062,0.5155198361192431,0.29228490591049194,0.7402994377272469,0.26682803460529875,0.4578782916069031,0.791616290807724,0.7902829349040985,0.45791785418987274,0.23545104265213013,0.45528292655944824,0.208383709192276,-9.177005267702043e-05,0.08961372822523117,0.018985338509082794,,-19.844829559326172,,0.09747035056352615,,False,pystoi is not installed,0.7927414178848267,0.37204891443252563,0.7927257418632507,0.5939158797264099,7.629410266876221,data/mini_librispeech/LibriSpeech/dev-clean-2/2035/152373/2035-152373-0012.flac,,0.10127907991409302,-0.6116920113563538
0.5743838921189308,True,0.650428295135498,0.6493686884641647,0.5743660591542721,0.3788731321692467,0.9917121939361095,0.01095135323703289,1.67613791115582,1.2946112155914307,0.34957170486450195,2.5859168097376823,1.0,0.8760818839073181,True,0,0.2328319549560547,0.2324811816215515,0.8760809898376465,0.800685465335846,3.156977653503418,0.0413903146982193,10.856525421142578,3.2946643829345703,0.7671680450439453,13.559039115905762,1.0,0.4144357144832611,True,7,0.8314715027809143,0.8282430768013,0.414501816034317,0.22208108007907867,0.4827616512775421,0.002995411865413189,0.12894275784492493,0.3590735197067261,0.1685284972190857,0.5806111693382263,1.0,0.5312841790063041,0.7100849151611328,0.708924046584538,0.5312639261995044,0.3186142274311611,0.6823885568550655,0.2899150848388672,0.41547925770282745,0.8298102021217346,0.8273759186267853,0.41550329327583313,0.21547502279281616,0.4809506684541702,0.17018979787826538,-0.00012138596503064036,0.1914931833744049,0.05003486946225166,,-1.9475924968719482,,0.12160488218069077,,False,pystoi is not installed,0.816819965839386,0.33293136954307556,0.8167968988418579,0.6856110692024231,6.789061069488525,data/mini_librispeech/LibriSpeech/dev-clean-2/1993/147964/1993-147964-0002.flac,,0.6242837905883789,2.136230945587158
